Gesamtanzahl Artikel:	1806
Anzahl Artikel in Test:	1084
Anzahl Artikel in Train:	722
Anteil von Test an gesamten Artikeln:	0.6002
Gesamtanzahl Sätze:	2611
Anzahl Sätze in Test:	1571
Anzahl Sätze in Train:	1040
Anteil von Test an gesamten Sätzen:	0.6017
Gesamtanzahl interactions:	5549
Anzahl Interaktionen in Test:	3330
Anzahl Interaktionen in Train:	2219
Anteil von Test an gesamten Interaktionen:	0.6001
Gesamtes 0/1 Verhältnis:	0.8952
0/1 Verhältnis in Test:	0.8964
0/1 Verhältnis in Train:	0.8933
Verhältnis des 0/1 Verhältnis von Test und Train:	1.0034
